"fec","fue","issn","eissn","revista_id","tic","categoria_id","edicion_id","idioma_id","region_id","editor_id","jcrDireccion_id","frecPublicacion","citasTotal","jif","jifSinAutocitas","jif5Anos","indInmediatez","itemsCitables","itemsCitables.Articulos","jifPercPromedio","articles","revisionesTotal","vidaMediaCitasRecibidas","vidaMediaCitasRealizadas","indAutofactor","indInfluenciaArticulo","indAutofactorNormalizado","jci","jifRango","jifCuartil","jifPercentil","jciRango","jciCuartil","jciPercentil","jifPosicion","jciPosicion"
2012,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",142,"0,739","0,587","0,838","0,108",37,"91,89","32,583",34,3,"5.4",">10.0","0,0006","0,294",NA,NA,"105/151","Q3","30,79",NA,NA,NA,105,NA
2012,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",142,"0,739","0,587","0,838","0,108",37,"91,89","32,583",34,3,"5.4",">10.0","0,0006","0,294",NA,NA,"51/87","Q3","41,95",NA,NA,NA,51,NA
2010,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"1 ISSUE/YEAR",124,"0,8","0,6",NA,"0,118",17,"94,12","34,651",16,1,"3.8",">10.0","0,00061",NA,NA,NA,"92/145","Q3","36,9",NA,NA,NA,92,NA
2009,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"1 ISSUE/YEAR",118,"1,216","1,039",NA,"0,15",20,"90","59,302",18,2,"2.9",">10.0","0,00079",NA,NA,NA,"53/129","Q2","59,3",NA,NA,NA,53,NA
2011,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"1 ISSUE/YEAR",96,"0,432","0,27",NA,"0,276",29,"96,55","12,346",28,1,NA,">10.0","0,00043",NA,NA,NA,"48/49","Q4","3,06",NA,NA,NA,48,NA
2016,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",232,"0,622","0,581","0,61","0",10,"90","18,26",9,1,"6.8",">10.0","0,00055","0,224",NA,NA,"49/54","Q4","10,19",NA,NA,NA,49,NA
2017,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",189,"0,516","0,438","0,484","0,273",11,"90,91","12,259",10,1,"7.3","16.8","0,00031","0,146","0,03583","0,34","141/167","Q4","15,87","136/163","Q4","16,87",141,136
2015,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",232,"0,708","0,5","0,672","0,093",54,"98,15","26,491",53,1,"8.0",">10.0","0,00036","0,181","0,04097",NA,"115/161","Q3","28,88",NA,NA,NA,115,NA
2017,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",189,"0,516","0,438","0,484","0,273",11,"90,91","12,259",10,1,"7.3","16.8","0,00031","0,146","0,03583","0,34","79/96","Q4","18,23","77/94","Q4","18,62",79,77
2010,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"1 ISSUE/YEAR",124,"0,8","0,6",NA,"0,118",17,"94,12","34,651",16,1,"3.8",">10.0","0,00061",NA,NA,NA,"38/48","Q4","21,88",NA,NA,NA,38,NA
2014,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",151,"0,464","0,42","0,467","0,062",16,"93,75","12,917",15,1,"7.2",">10.0","0,00035","0,164","0,03936",NA,"72/92","Q4","22,28",NA,NA,NA,72,NA
2020,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",234,"0,36","0,32","0,54","0,125",8,"100","1,983",8,0,"9.6","15.8","0,00016","0,155","0,03354","0,34","100/102","Q4","2,45","80/104","Q4","23,56",100,80
2015,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",232,"0,708","0,5","0,672","0,093",54,"98,15","26,491",53,1,"8.0",">10.0","0,00036","0,181","0,04097",NA,"60/94","Q3","36,7",NA,NA,NA,60,NA
2018,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",203,"0,667","0,571","0,512","0,4",10,"90","20,648",9,1,"8.8","20.8","0,00028","0,17","0,03387","0,36","50/57","Q4","13,16","49/54","Q4","10,19",50,49
2017,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",189,"0,516","0,438","0,484","0,273",11,"90,91","12,259",10,1,"7.3","16.8","0,00031","0,146","0,03583","0,34","55/56","Q4","2,68","49/53","Q4","8,49",55,49
2019,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",199,"0,81","0,762","0,571","0,111",9,"88,89","25,168",8,1,"8.2","20.1","0,00029","0,221","0,03578","0,51","68/101","Q3","33,17","62/99","Q3","37,88",68,62
2019,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",199,"0,81","0,762","0,571","0,111",9,"88,89","25,168",8,1,"8.2","20.1","0,00029","0,221","0,03578","0,51","48/55","Q4","13,64","43/54","Q4","21,3",48,43
2020,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",234,"0,36","0,32","0,54","0,125",8,"100","1,983",8,0,"9.6","15.8","0,00016","0,155","0,03354","0,34","171/175","Q4","2,57","156/176","Q4","11,65",171,156
2016,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",232,"0,622","0,581","0,61","0",10,"90","18,26",9,1,"6.8",">10.0","0,00055","0,224",NA,NA,"70/93","Q4","25,27",NA,NA,NA,70,NA
2013,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",181,"0,5","0,379","0,619","0,125",32,"93,75","16,139",30,2,"6.2",">10.0","0,00031","0,16","0,03463",NA,"46/49","Q4","7,14",NA,NA,NA,46,NA
2018,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",203,"0,667","0,571","0,512","0,4",10,"90","20,648",9,1,"8.8","20.8","0,00028","0,17","0,03387","0,36","70/98","Q3","29,08","74/96","Q4","23,44",70,74
2014,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",151,"0,464","0,42","0,467","0,062",16,"93,75","12,917",15,1,"7.2",">10.0","0,00035","0,164","0,03936",NA,"46/50","Q4","9",NA,NA,NA,46,NA
2020,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",234,"0,36","0,32","0,54","0,125",8,"100","1,983",8,0,"9.6","15.8","0,00016","0,155","0,03354","0,34","54/54","Q4","0,93","52/55","Q4","6,36",54,52
2011,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"1 ISSUE/YEAR",96,"0,432","0,27",NA,"0,276",29,"96,55","12,346",28,1,NA,">10.0","0,00043",NA,NA,NA,"130/146","Q4","11,3",NA,NA,NA,130,NA
2013,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"2 ISSUES/YEAR",181,"0,5","0,379","0,619","0,125",32,"93,75","16,139",30,2,"6.2",">10.0","0,00031","0,16","0,03463",NA,"66/90","Q3","27,22",NA,NA,NA,66,NA
2013,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",181,"0,5","0,379","0,619","0,125",32,"93,75","16,139",30,2,"6.2",">10.0","0,00031","0,16","0,03463",NA,"132/153","Q4","14,05",NA,NA,NA,132,NA
2016,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",232,"0,622","0,581","0,61","0",10,"90","18,26",9,1,"6.8",">10.0","0,00055","0,224",NA,NA,"132/163","Q4","19,33",NA,NA,NA,132,NA
2018,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",203,"0,667","0,571","0,512","0,4",10,"90","20,648",9,1,"8.8","20.8","0,00028","0,17","0,03387","0,36","137/170","Q4","19,71","142/168","Q4","15,77",137,142
2019,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",199,"0,81","0,762","0,571","0,111",9,"88,89","25,168",8,1,"8.2","20.1","0,00029","0,221","0,03578","0,51","121/169","Q3","28,7","110/168","Q3","34,82",121,110
2015,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",232,"0,708","0,5","0,672","0,093",54,"98,15","26,491",53,1,"8.0",">10.0","0,00036","0,181","0,04097",NA,"47/54","Q4","13,89",NA,NA,NA,47,NA
2012,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",196,3,22,94,1688,7947,"2 ISSUES/YEAR",142,"0,739","0,587","0,838","0,108",37,"91,89","32,583",34,3,"5.4",">10.0","0,0006","0,294",NA,NA,"38/50","Q4","25",NA,NA,NA,38,NA
2009,"AFRICAN JOURNAL OF AGRICULTURAL RESEARCH","1991-637X",NA,697,"AFR. J. AGRIC. RES.",7,3,8,72,69,7028,"12 ISSUES/YEAR",28,"0,08","0,071","0,086","0,028",213,"90,14","7,778",192,21,NA,">10.0","0,0001","0,019",NA,NA,"42/45","Q4","7,78",NA,NA,NA,42,NA
2010,"AFRICAN JOURNAL OF AGRICULTURAL RESEARCH","1991-637X",NA,697,"AFR. J. AGRIC. RES.",7,3,8,72,69,7028,"24 ISSUES/YEAR",119,"0,263","0,242","0,203","0,055",437,"95,42","33,636",417,20,"1.5",">10.0","0,0003","0,033",NA,NA,"37/55","Q3","33,64",NA,NA,NA,37,NA
2020,"AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS-AFJARE","1993-3738","1993-3738",698,"AFR. J. AGRIC. RESOUR. ECON.-AFJARE",3,2,22,94,139,7653,"2 ISSUES/YEAR",290,NA,NA,NA,"0,118",17,"100",NA,17,0,"10.5","10.1","0,00018",NA,"0,03796","0,28",NA,NA,NA,"29/33","Q4","13,64",NA,29
2018,"AFRICAN JOURNAL OF AQUATIC SCIENCE","1608-5914","1727-9364",699,"AFR. J. AQUAT. SCI.",149,3,8,94,4440,938,"4 ISSUES/YEAR",453,"0,75","0,598","0,765","0,116",43,"100","17,13",43,0,"7.0","12.5","0,00067","0,21","0,08028","0,3","90/108","Q4","17,13","91/104","Q4","12,98",90,91
2020,"AFRICAN JOURNAL OF AQUATIC SCIENCE","1608-5914","1727-9364",699,"AFR. J. AQUAT. SCI.",149,3,8,94,4440,938,"4 ISSUES/YEAR",881,"1","0,895","1,227","0,954",65,"89,23","19,545",58,7,"7.8","12.8","0,00051","0,233","0,10837","0,29","89/110","Q4","19,55","95/112","Q4","15,63",89,95
