"fec","fue","issn","eissn","revista_id","tic","categoria_id","edicion_id","idioma_id","region_id","editor_id","jcrDireccion_id","frecPublicacion","citasTotal","jif","jifSinAutocitas","jif5Anos","indInmediatez","itemsCitables","itemsCitables.Articulos","jifPercPromedio","articles","revisionesTotal","vidaMediaCitasRecibidas","vidaMediaCitasRealizadas","indAutofactor","indInfluenciaArticulo","indAutofactorNormalizado","jci","jifRango","jifCuartil","jifPercentil","jciRango","jciCuartil","jciPercentil","jifPosicion","jciPosicion"
2020,"JOURNAL OF TRANSPORT AND SUPPLY CHAIN MANAGEMENT","2310-8789","1995-5235",14610,"J. TRANSP. SUPPLY CHAIN MANAG.",148,2,8,94,552,7895,"1 ISSUE/YEAR",152,NA,NA,NA,"0,059",17,"100",NA,17,0,"5.1","6.4","0,00012",NA,"0,02542","0,34",NA,NA,NA,"279/379","Q3","26,52",NA,279
2020,"JAMBA-JOURNAL OF DISASTER RISK STUDIES","1996-1421","2072-845X",14808,"JAMBA-J. DISASTER RISK STUD.",247,2,8,94,142,5871,"1 ISSUE/YEAR",360,NA,NA,NA,"0,13",23,"100",NA,23,0,"3.7","8.2","0,00045",NA,"0,0944","0,82",NA,NA,NA,"88/254","Q2","65,55",NA,88
2015,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,553,7895,"1 ISSUE/YEAR",461,"1,412","1,294",NA,"0,1",20,"100","58,163",20,0,">10.0",">10.0","0,0006",NA,"0,06794",NA,"21/49","Q2","58,16",NA,NA,NA,21,NA
2018,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,552,7895,"1 ISSUE/YEAR",473,"0,9","0,825","1,202","0,071",14,"100","22,881",14,0,"14.5","14.2","0,00038","0,314","0,0463","0,27","46/59","Q4","22,88","43/57","Q3","25,44",46,43
2020,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,552,7895,"1 ISSUE/YEAR",724,"1,241","1,103","1,404","1,875",32,"93,75","29,167",30,2,"12.1","9.6","0,00026","0,294","0,05643","0,34","43/60","Q3","29,17","45/64","Q3","30,47",43,45
2016,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,552,7895,"1 ISSUE/YEAR",442,"0,882","0,794","1,286","0,059",17,"100","41,667",17,0,">10.0",">10.0","0,00044","0,337","0,05068",NA,"32/54","Q3","41,67",NA,NA,NA,32,NA
2017,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,552,7895,"1 ISSUE/YEAR",491,"0,919","0,811","0,929","0,522",23,"91,3","37,719",21,2,"16.1","10.1","0,00028","0,243","0,03324","0,27","36/57","Q3","37,72","39/53","Q3","27,36",36,39
2013,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,5915,7036,"1 ISSUE/YEAR",362,"1,486","1,324",NA,"0,35",20,"100","51,19",20,0,">10.0",">10.0","0,0005",NA,"0,0554",NA,"21/42","Q2","51,19",NA,NA,NA,21,NA
2014,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,5915,7036,"1 ISSUE/YEAR",353,"0,529","0,529",NA,"0",14,"100","23,864",14,0,">10.0",">10.0","0,0005",NA,"0,05643",NA,"34/44","Q4","23,86",NA,NA,NA,34,NA
2019,"KOEDOE","0075-6458","2071-0771",15004,"KOEDOE",27,3,22,94,552,7895,"1 ISSUE/YEAR",498,"0,892","0,757","1,227","0,133",15,"100","21,552",15,0,"11.8","11.5","0,00032","0,294","0,03992","0,25","46/58","Q4","21,55","47/57","Q4","18,42",46,47
2020,"LANGUAGE MATTERS","1022-8195","1753-5395",15158,"LANG. MATTERS",137,4,8,94,5269,1023,"3 ISSUES/YEAR",144,"0,605","0,5","0,485","0",18,"100","26,166",18,0,"7.5","11.9","0,00018","0,183","0,03907","0,5","143/193","Q3","26,17","179/262","Q3","31,87",143,179
2018,"LANGUAGE MATTERS","1022-8195","1753-5395",15158,"LANG. MATTERS",137,4,8,94,5269,1023,"3 ISSUES/YEAR",101,"0,2","0,2","0,427","0",20,"100","4,62",20,0,"6.8","13.9","0,00018","0,135","0,02185","0,39","176/184","Q4","4,62","199/262","Q4","24,24",176,199
2020,"LANGUAGE MATTERS","1022-8195","1753-5395",15158,"LANG. MATTERS",134,1,8,94,5269,1023,"3 ISSUES/YEAR",144,"0,605","0,5","0,485","0",18,"100","26,166",18,0,"7.5","11.9","0,00018","0,183","0,03907","0,5",NA,NA,NA,"188/360","Q3","47,92",NA,188
2019,"LANGUAGE MATTERS","1022-8195","1753-5395",15158,"LANG. MATTERS",137,4,8,94,5269,1023,"3 ISSUES/YEAR",113,"0,125","0,125","0,353","0,167",18,"100","2,941",18,0,"8.7","12.5","0,00011","0,087","0,01366","0,33","182/187","Q4","2,94","209/263","Q4","20,72",182,209
2013,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",43,"0,351","0,108","0,193","0",NA,"100","34,024",31,NA,NA,">10.0","0,00023","0,103","0,02545",NA,"112/169","Q3","34,02",NA,NA,NA,112,NA
2014,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",71,"0,302","0,113","0,234","0,05",20,"100","26,453",20,0,NA,">10.0","0,00019","0,083","0,02132",NA,"127/172","Q3","26,45",NA,NA,NA,127,NA
2018,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",151,"0,489","0,289","0,39","0",20,"95","25,815",19,1,"8.8","11.7","0,00011","0,076","0,01413","0,71","137/184","Q3","25,82","151/262","Q3","42,56",137,151
2008,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",40,"0,3","0,1",NA,"0,19",21,"95,24","18,382",20,1,NA,">10.0","0,00025",NA,NA,NA,"56/68","Q4","18,38",NA,NA,NA,56,NA
2010,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",107,"0,607","0,098","0,451","0,216",37,"100","53,819",37,0,"3.9",">10.0","0,00023","0,091",NA,NA,"67/144","Q2","53,82",NA,NA,NA,67,NA
2020,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",134,1,8,94,1176,7432,"1 ISSUE/YEAR",146,"0,371","0,086","0,569","0,04",25,"100","12,694",25,0,"8.9","13.6","0,00024","0,236","0,05189","0,5",NA,NA,NA,"188/360","Q3","47,92",NA,188
2009,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",125,"0,667","0,176",NA,"0,075",40,"97,5","47,849",39,1,"5.6",">10.0","0,00038",NA,NA,NA,"49/93","Q3","47,85",NA,NA,NA,49,NA
2019,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",93,"0,326","0,174","0,262","0,133",15,"100","15,775",15,0,NA,"12.5","0,00013","0,102","0,01679","0,52","158/187","Q4","15,78","180/263","Q3","31,75",158,180
2017,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",116,"0,61","0,122","0,518","0",26,"100","40,608",26,0,"5.9","9.4","0,00023","0,148","0,02715","0,71","108/181","Q3","40,61","157/258","Q3","39,34",108,157
2020,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",146,"0,371","0,086","0,569","0,04",25,"100","12,694",25,0,"8.9","13.6","0,00024","0,236","0,05189","0,5","169/193","Q4","12,69","179/262","Q3","31,87",169,179
2016,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",111,"0,452","0,262","0,409","0,053",19,"94,74","36,538",18,1,"7.1",">10.0","0,00032","0,2","0,03638",NA,"116/182","Q3","36,54",NA,NA,NA,116,NA
2015,"LEXIKOS","1684-4904","2224-0039",15321,"LEXIKOS",137,4,8,94,1176,7432,"1 ISSUE/YEAR",82,"0,373","0,137","0,304","0,045",22,"100","31,215",22,0,NA,"8.7","0,00016","0,087","0,0188",NA,"125/181","Q3","31,22",NA,NA,NA,125,NA
2014,"LIBYAN JOURNAL OF MEDICINE","1993-2820","1819-6357",15345,"LIBYAN J. MED.",168,3,8,57,1561,8117,"4 ISSUES/YEAR",147,"1,057","0,886","0,8","0,333",18,"100","42,532",18,0,"4.7","6.9","0,00041","0,204","0,04544",NA,"89/154","Q3","42,53",NA,NA,NA,89,NA
2015,"LIBYAN JOURNAL OF MEDICINE","1993-2820","1819-6357",15345,"LIBYAN J. MED.",168,3,8,57,1561,8117,"4 ISSUES/YEAR",163,"1,429","1,229","1,047","0,286",21,"95,24","54,516",20,1,"4.6","8.8","0,0004","0,247","0,04519",NA,"71/155","Q2","54,52",NA,NA,NA,71,NA
2010,"LIBYAN JOURNAL OF MEDICINE","1993-2820","1819-6357",15345,"LIBYAN J. MED.",168,3,8,57,1561,8117,"4 ISSUES/YEAR",24,"0,169","0,078",NA,"0,061",33,"93,94","10,131",31,2,NA,"10.0","0,00008",NA,NA,NA,"138/153","Q4","10,13",NA,NA,NA,138,NA
2011,"LIBYAN JOURNAL OF MEDICINE","1993-2820","1819-6357",15345,"LIBYAN J. MED.",168,3,8,57,1561,8117,"4 ISSUES/YEAR",35,"0,179","0,179",NA,"0,25",12,"91,67","10",11,1,NA,"8.0","0,00011",NA,NA,NA,"140/155","Q4","10",NA,NA,NA,140,NA
2013,"LIBYAN JOURNAL OF MEDICINE","1993-2820","1819-6357",15345,"LIBYAN J. MED.",168,3,8,57,1561,8117,"4 ISSUES/YEAR",122,"1,333","1,2","0,703","0,294",17,"88,24","52,244",15,2,"3.5","6.5","0,00048","0,194","0,05263",NA,"75/156","Q2","52,24",NA,NA,NA,75,NA
2012,"LIBYAN JOURNAL OF MEDICINE","1993-2820","1819-6357",15345,"LIBYAN J. MED.",168,3,8,57,1561,8117,"4 ISSUES/YEAR",85,"0,585","0,585",NA,"0,056",18,"94,44","27,419",17,1,NA,"8.3","0,00043",NA,NA,NA,"113/155","Q3","27,42",NA,NA,NA,113,NA
2020,"LITERATOR-JOURNAL OF LITERARY CRITICISM COMPARATIVE LINGUISTICS AND LITERARY STUDIES","0258-2279","2219-8237",15433,"LITERATOR",139,2,22,94,552,7895,"1 ISSUE/YEAR",63,NA,NA,NA,"0,083",12,"100",NA,12,0,NA,"12.4","0,00014",NA,"0,02997","1,81",NA,NA,NA,"Aug-50","Q1","85",NA,8
2013,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",78,"0,191","0,191","0,362","0,04",NA,"100","1,543",25,NA,NA,"7.0","0,00026","0,12","0,02876",NA,"160/162","Q4","1,54",NA,NA,NA,160,NA
2015,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",192,"0,837","0,816","0,965","0,133",30,"83,33","15,318",25,5,"5.3","7.5","0,00052","0,297","0,05888",NA,"147/173","Q4","15,32",NA,NA,NA,147,NA
2017,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",410,"1,123","0,965","2,297","0,102",59,"93,22","20,718",55,4,"5.5","7.7","0,00108","0,612","0,12612","0,34","144/181","Q4","20,72","232/262","Q4","11,64",144,232
2011,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",53,"0,34","0,34",NA,"0",13,"100","6,646",13,0,NA,"9.1","0,0003",NA,NA,NA,"148/158","Q4","6,65",NA,NA,NA,148,NA
2016,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",258,"0,611","0,556","1,333","0",27,"96,3","6,534",26,1,"4.7","8.5","0,00092","0,506","0,10525",NA,"165/176","Q4","6,53",NA,NA,NA,165,NA
2012,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",61,"0,273","0,273",NA,"0",22,"100","4,037",22,0,NA,"8.7","0,00026",NA,NA,NA,"155/161","Q4","4,04",NA,NA,NA,155,NA
2020,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",1063,"0,875","0,875","1,491","0,063",32,"96,88","6,65",31,1,"8.3","8.0","0,00107","0,492","0,22519","0,3","190/203","Q4","6,65","320/373","Q4","14,34",190,320
2018,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",631,"0,859","0,753","1,36","0,019",53,"96,23","9,946",51,2,"6.3","8.4","0,00072","0,333","0,08588",NA,"168/186","Q4","9,95","240/272","Q4","11,95",168,240
2019,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",742,"0,598","0,563","1,089","0,023",43,"88,37","4,922",38,5,"7.3","8.3","0,00083","0,342","0,10129","0,27","184/193","Q4","4,92","263/280","Q4","6,25",184,263
2014,"MALAWI MEDICAL JOURNAL","1995-7262","1995-7270",15573,"MALAWI MED. J.",233,3,8,60,4158,6435,"4 ISSUES/YEAR",104,"0,383","0,383","0,533","0",24,"95,83","3,333",23,1,"5.3","9.0","0,0004","0,206","0,04466",NA,"160/165","Q4","3,33",NA,NA,NA,160,NA
2019,"MARINE ORNITHOLOGY","1018-3337","2074-1235",15660,"MAR. ORNITHOL.",193,3,8,94,145,7047,"2 ISSUES/YEAR",475,"0,403","0,306",NA,"0,225",40,"97,5","19,643",39,1,"11.4","13.2","0,00032",NA,"0,03999","0,34","23/28","Q4","19,64","23/27","Q4","16,67",23,23
2018,"MARINE ORNITHOLOGY","1018-3337","2074-1235",15660,"MAR. ORNITHOL.",193,3,8,94,145,7047,"2 ISSUES/YEAR",423,"0,537","0,448",NA,"0,241",29,"100","23,214",29,0,"10.0","13.0","0,0005",NA,"0,06003","0,37","22/28","Q4","23,21","22/27","Q4","20,37",22,22
2020,"MARINE ORNITHOLOGY","1018-3337","2074-1235",15660,"MAR. ORNITHOL.",193,3,8,94,145,7047,"2 ISSUES/YEAR",540,"0,768","0,594",NA,"0,175",40,"100","26,786",40,0,"11.7","12.3","0,00034",NA,"0,07314","0,39","21/28","Q3","26,79","24/27","Q4","12,96",21,24
2020,"MIDDLE EAST FERTILITY SOCIETY JOURNAL","1110-5690","2090-3251",16173,"MIDDLE EAST FERTIL. SOC. J.",240,2,8,28,5972,6930,"1 ISSUE/YEAR",409,NA,NA,NA,"0,25",32,"81,25",NA,26,6,"4.5","8.1","0,00056",NA,"0,11912","0,29",NA,NA,NA,"32/33","Q4","4,55",NA,32
2020,"MOMONA ETHIOPIAN JOURNAL OF SCIENCE","2073-073X","2073-073X",16415,"MOMONA ETHIOP. J. SCI.",178,2,8,32,4210,7479,"2 ISSUES/YEAR",153,NA,NA,NA,"0,111",9,"100",NA,9,0,"7.8","11.0","0,00007",NA,"0,01603","0,05",NA,NA,NA,"100/126","Q4","21,03",NA,100
2020,"MOROCCAN JOURNAL OF CHEMISTRY","2351-812X","2351-812X",16443,"MOROC. J. CHEM.",42,2,8,67,6890,7928,"4 ISSUES/YEAR",208,NA,NA,NA,"0,25",92,"100",NA,92,0,"2.9","10.4","0,00021",NA,"0,04426","0,08",NA,NA,NA,"188/216","Q4","13,19",NA,188
2020,"MUZIKI-JOURNAL OF MUSIC RESEARCH IN AFRICA","1812-5980","1753-593X",16544,"MUZIKI",179,2,8,94,5269,1023,"2 ISSUES/YEAR",68,NA,NA,NA,"0",5,"100",NA,5,0,NA,"12.2","0,00018",NA,"0,03958","0,94",NA,NA,NA,"32/110","Q2","71,36",NA,32
2020,"NEOTESTAMENTICA","0254-8356",NA,16755,"NEOTESTAMENTICA",238,1,8,94,4564,4736,"2 ISSUES/YEAR",54,NA,NA,NA,"0",6,"100",NA,6,0,NA,"18.8","0,00011","0,111","0,02422","0,52",NA,NA,NA,"158/319","Q2","50,63",NA,158
2020,"NEW CONTREE","0379-9867","0379-9867",16916,"NEW CONTREE",120,2,8,94,7000,7313,"2 ISSUES/YEAR",45,NA,NA,NA,"0",6,"100",NA,6,0,NA,"28.4","0,00002",NA,"0,00425","0,29",NA,NA,NA,"338/485","Q3","30,41",NA,338
2011,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4168,9340,"4 ISSUES/YEAR",125,"0,192","0,182",NA,"0,009",110,"90,91","11,935",100,10,"3.8",">10.0","0,00052",NA,NA,NA,"137/155","Q4","11,94",NA,NA,NA,137,NA
2014,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4195,3422,"4 ISSUES/YEAR",377,"0,527","0,482","0,502","0,109",156,"98,08","19,805",153,3,"3.7",">10.0","0,00111","0,129","0,12452",NA,"124/154","Q4","19,81",NA,NA,NA,124,NA
2016,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4195,3422,"4 ISSUES/YEAR",665,"0,615","0,59","0,716","0,118",153,"94,77","19,677",145,8,"4.2",">10.0","0,00141","0,151","0,16156",NA,"125/155","Q4","19,68",NA,NA,NA,125,NA
2017,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,7585,9772,"4 ISSUES/YEAR",866,"0,717","0,678","0,758","0,051",275,"96,36","19,032",265,10,"4.6","11.0","0,00155","0,163","0,18116","0,26","126/155","Q4","19,03","118/153","Q4","23,2",126,118
2010,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4168,9340,"4 ISSUES/YEAR",87,"0,168","0,158",NA,"0,019",52,"90,38","9,477",47,5,NA,">10.0","0,00038",NA,NA,NA,"139/153","Q4","9,48",NA,NA,NA,139,NA
2019,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,7585,9772,"12 ISSUES/YEAR",1278,"0,634","0,603","0,769","0,067",282,"95,74","16,061",270,12,"4.9","10.3","0,00211","0,163","0,25732","0,23","139/165","Q4","16,06","137/164","Q4","16,77",139,137
2018,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,7585,9772,"4 ISSUES/YEAR",1006,"0,43","0,407","0,708","0,087",277,"95,31","9,063",264,13,"4.9","10.6","0,00171","0,151","0,20389","0,2","146/160","Q4","9,06","133/158","Q4","16,14",146,133
2020,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,7585,9772,"12 ISSUES/YEAR",2097,"0,968","0,95","1,032","0,178",276,"97,1","19,822",268,8,"5.2","10.3","0,00282","0,239","0,59272","0,27","136/169","Q4","19,82","175/313","Q3","44,25",136,175
2015,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4195,3422,"4 ISSUES/YEAR",451,"0,524","0,494","0,526","0,08",138,"88,41","20,323",122,16,"4.2","10.0","0,0013","0,145","0,14773",NA,"124/155","Q4","20,32",NA,NA,NA,124,NA
2012,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4195,3422,"4 ISSUES/YEAR",189,"0,263","0,23",NA,"0,01",105,"92,38","14,516",97,8,"4.0",">10.0","0,00076",NA,NA,NA,"133/155","Q4","14,52",NA,NA,NA,133,NA
2013,"NIGERIAN JOURNAL OF CLINICAL PRACTICE","1119-3077","1119-3077",16987,"NIGER. J. CLIN. PRACT.",168,3,8,72,4195,3422,"4 ISSUES/YEAR",255,"0,414","0,377","0,367","0,087",115,"93,91","17,628",108,7,"3.7",">10.0","0,00093","0,108","0,10241",NA,"129/156","Q4","17,63",NA,NA,NA,129,NA
2016,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,552,7895,NA,991,"0,74","0,671","1,024","0,097",31,"100","40,074",31,0,">10.0",">10.0","0,00089","0,367","0,10141",NA,"82/136","Q3","40,07",NA,NA,NA,82,NA
2009,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",808,"0,432","0,365","0,525","0,038",26,"100","33,451",26,0,">10.0",">10.0","0,00053","0,126",NA,NA,"95/142","Q3","33,45",NA,NA,NA,95,NA
2007,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",670,"0,422","0,325","0,48","0,04",25,"100","34,962",25,0,">10.0",">10.0","0,00067","0,141",NA,NA,"87/133","Q3","34,96",NA,NA,NA,87,NA
2005,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",616,"0,317","0,244",NA,"0,1",30,"100","27,519",30,0,">10.0",">10.0",NA,NA,NA,NA,"94/129","Q3","27,52",NA,NA,NA,94,NA
2014,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",906,"1,26","1,091","0,968","0,179",39,"100","68,045",39,0,">10.0",">10.0","0,00064","0,264","0,07224",NA,"43/133","Q2","68,05",NA,NA,NA,43,NA
2018,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,552,7895,NA,1027,"1,033","0,984","1,317","0,056",18,"94,44","52,128",17,1,"17.7","10.5","0,00077","0,366","0,09262","0,71","68/141","Q2","52,13","70/135","Q3","48,52",68,70
2001,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",650,"0,41","0,301",NA,"0,111",36,"97,22","44,922",35,1,">10.0",">10.0",NA,NA,NA,NA,"71/128","Q3","44,92",NA,NA,NA,71,NA
1998,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",764,"0,416","0,315",NA,"0,077",26,"100","51,439",26,0,">10.0",">10.0",NA,NA,NA,NA,"68/139","Q2","51,44",NA,NA,NA,68,NA
2003,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",675,"0,548","0,44",NA,"0,034",29,"100","46,25",29,0,">10.0",">10.0",NA,NA,NA,NA,"65/120","Q3","46,25",NA,NA,NA,65,NA
2019,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,552,7895,NA,1071,"0,979","0,938","1,112","0,171",35,"97,14","40,78",34,1,"18.7","11.4","0,00051","0,27","0,06326","0,65","84/141","Q3","40,78","75/136","Q3","45,22",84,75
2004,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",636,"0,487","0,276",NA,"0,044",45,"100","42,339",45,0,">10.0",">10.0",NA,NA,NA,NA,"72/124","Q3","42,34",NA,NA,NA,72,NA
2013,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",907,"0,618","0,618","0,685","0,115",26,"96,15","31,439",25,1,">10.0",">10.0","0,00056","0,199","0,06148",NA,"91/132","Q3","31,44",NA,NA,NA,91,NA
2006,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",809,"0,465","0,314",NA,"0,167",42,"100","39,147",42,0,">10.0",">10.0",NA,NA,NA,NA,"79/129","Q3","39,15",NA,NA,NA,79,NA
2012,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",744,"0,545","0,545","0,543",NA,NA,NA,"36,014",NA,NA,">10.0",">10.0","0,00039","0,147",NA,NA,"92/143","Q3","36,01",NA,NA,NA,92,NA
2011,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",785,"0,356","0,356","0,52",NA,NA,NA,"28,621",NA,NA,">10.0",">10.0","0,00051","0,16",NA,NA,"104/145","Q3","28,62",NA,NA,NA,104,NA
2020,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,552,7895,NA,1511,"1,792","1,774","2,113","0,1",20,"85","64,041",17,3,"16.9","10.7","0,00064","0,442","0,13432","0,81","53/146","Q2","64,04","59/166","Q2","64,76",53,59
2017,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,552,7895,NA,1111,"1,017","0,914","1,204","0,167",30,"100","54,643",30,0,"18.0","11.3","0,00083","0,331","0,09646","0,55","64/140","Q2","54,64","80/131","Q3","39,31",64,80
2008,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,4685,7956,"4 ISSUES/YEAR",738,"0,693","0,547","0,566","0,097",31,"100","48,519",31,0,">10.0",">10.0","0,00065","0,147",NA,NA,"70/135","Q3","48,52",NA,NA,NA,70,NA
2015,"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH","0030-2465","2219-0635",17332,"ONDERSTEPOORT J. VET. RES.",267,3,8,94,553,7895,NA,970,"0,603","0,603","0,834","0",22,"90,91","32,246",20,2,">10.0",">10.0","0,00055","0,253","0,06318",NA,"94/138","Q3","32,25",NA,NA,NA,94,NA
