"source","research_area","issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source_url"
"Journal of Sociology and Development","African Studies",NA,"2507-7783","2714-285X","https://www.ajol.info/index.php/jsd"
"Journal of Sociology and Development","African Studies",NA,"2507-7783","2714-285X","https://www.ajol.info/index.php/jsd"
"Journal of Technology and Education in Nigeria","African Studies","1118-5570",NA,NA,"https://www.ajol.info/index.php/joten"
"Journal of Technology and Education in Nigeria","African Studies","1118-5570",NA,NA,"https://www.ajol.info/index.php/joten"
"Journal of the Musical Arts in Africa","African Studies","2070-626X","1812-1004","2070-626X","https://www.ajol.info/index.php/jmaa"
"Journal of the Musical Arts in Africa","African Studies","2070-626X","1812-1004","2070-626X","https://www.ajol.info/index.php/jmaa"
"Jumuga Journal of Education, Oral Studies, and Human Sciences","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/jjeoshs"
"Jumuga Journal of Education, Oral Studies, and Human Sciences","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/jjeoshs"
"Kioo cha Lugha","African Studies","0856-552X","2546-2210","0856-0617","https://www.ajol.info/index.php/kcl"
"Kioo cha Lugha","African Studies","0856-552X","2546-2210","0856-0617","https://www.ajol.info/index.php/kcl"
"Kiswahili","African Studies","0023-1886","2546-2229","0856-048X","https://www.ajol.info/index.php/ksh"
"Kiswahili","African Studies","0023-1886","2546-2229","0856-048X","https://www.ajol.info/index.php/ksh"
"Lagos Notes and Records","African Studies","0075-7640","0075-7640",NA,"https://www.ajol.info/index.php/lnr"
"Lagos Notes and Records","African Studies","0075-7640","0075-7640",NA,"https://www.ajol.info/index.php/lnr"
"Legon Journal of the Humanities","African Studies","2458-746X","2458-746X","0855-1502","https://www.ajol.info/index.php/ljh"
"Legon Journal of the Humanities","African Studies","2458-746X","2458-746X","0855-1502","https://www.ajol.info/index.php/ljh"
"Makerere Journal of Higher Education","African Studies","2707-6113","1816-6822","2707-6113","https://www.ajol.info/index.php/majohe"
"Makerere Journal of Higher Education","African Studies","2707-6113","1816-6822","2707-6113","https://www.ajol.info/index.php/majohe"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/malam"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/malam"
"Malawi Journal of Economics","African Studies",NA,"2312-9204",NA,"https://www.ajol.info/index.php/mje"
"Mtafiti Mwafrika (African Researcher)","African Studies","1607-0011",NA,NA,"https://www.ajol.info/index.php/mtafiti"
"Mtafiti Mwafrika (African Researcher)","African Studies","1607-0011",NA,NA,"https://www.ajol.info/index.php/mtafiti"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/njhss"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/nba"
"OGIRISI: a New Journal of African Studies","African Studies","1597-474X",NA,NA,"https://www.ajol.info/index.php/og"
