"issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source","country","open_access","stars","last_issue","source_url"
"1117-9996","1117-9996","2467-8694","Agrosearch","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/agrosh"
"2090-2948","2090-5076","2090-5068","Alexandria Journal of Medicine","Egypt, Arab Rep.",TRUE,"missing",2022,"https://www.ajol.info/index.php/bafm"
NA,"2716-9375","2773-2916","Algerian Journal of Biosciences","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/aljb"
NA,"2716-9227","2716-9278","Algerian Journal of Engineering and Technology","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajet"
NA,"2707-7179",NA,"AlQalam Journal of Medical and Applied Sciences","Libya",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajmas"
"2305-9478","2226-6054","2305-9478","Anatomy Journal of Africa","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/aja"
NA,"2736-0067","2736-0059","Anchor University Journal of Science and Technology","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/aujst"
"0794-4721",NA,NA,"Animal Production Research Advances","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/apra"
"1597-3115",NA,NA,"Animal Research International","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/ari"
"0254-4296","2731-2860","0254-4296","Annales Aequatoria","Congo, Republic",FALSE,"missing",2011,"https://www.ajol.info/index.php/aq"
NA,NA,NA,"Annales Africaines de Medecine","Congo, Democratic Republic",TRUE,"missing",NA,"https://www.ajol.info/index.php/aamed"
"1659-5009",NA,NA,"Annales des Sciences Agronomiques","Benin",FALSE,"missing",2018,"https://www.ajol.info/index.php/asab"
"1596-3519",NA,NA,"Annals of African Medicine","Nigeria",TRUE,"missing",2014,"https://www.ajol.info/index.php/aam"
"2523-0816","1999-9674","2523-0816","Annals of African Surgery","Kenya",TRUE,"missing",2023,"https://www.ajol.info/index.php/aas"
"1596-6569",NA,NA,"Annals of Biomedical Sciences","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/abs"
NA,"2536-6149","2476-8642","Annals of Health Research","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ahr"
"2141-4343",NA,NA,"Annals of Humanities and Development Studies","Nigeria",FALSE,"missing",2020,"https://www.ajol.info/index.php/ahds"
"1597-1627","1597-1627",NA,"Annals of Ibadan Postgraduate Medicine","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/aipm"
"2141-9248","2141-9248",NA,"Annals of Medical and Health Sciences Research","Nigeria",TRUE,"missing",2017,"https://www.ajol.info/index.php/amhsr"
"2141-1263","2141-1263",NA,"Annals of Modern Education","Nigeria",FALSE,"missing",2016,"https://www.ajol.info/index.php/ame"
"0331-3131","0331-3131",NA,"Annals of Nigerian Medicine","Nigeria",FALSE,"missing",2018,"https://www.ajol.info/index.php/anmed"
"1687-4137","2090-5394","1687-4137","Annals of Pediatric Surgery","Egypt, Arab Rep.",TRUE,"missing",2019,"https://www.ajol.info/index.php/aps"
"1858-554X",NA,NA,"Arab Journal of Nephrology and Transplantation","Sudan",TRUE,"missing",2015,"https://www.ajol.info/index.php/ajnt"
NA,NA,NA,"Arumaruka: Journal of Conversational Thinking","Nigeria",NA,NA,NA,"https://www.ajol.info/index.php/ajct"
"1467-6958","1467-6958",NA,"Archives of Ibadan Medicine","Nigeria",FALSE,"missing",2008,"https://www.ajol.info/index.php/aim"
"1694-2078","1694-2078","1694-2086","Archives of Medical and Biomedical Research","Mauritius",TRUE,"missing",2018,"https://www.ajol.info/index.php/ambr"
"1596-6305",NA,NA,"ATBU Journal of Environmental Technology","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/atbu"
NA,"2756-4657","2465-6666","Babcock University Medical Journal","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bumj"
NA,NA,NA,"Bahir Dar University Journal of Law","Ethiopia",FALSE,"missing",NA,"https://www.ajol.info/index.php/bdujl"
NA,"2630-6638","2630-6980","Bakolori Journal of General Studies","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bajoges"
NA,"2437-0665",NA,"Batna Journal of Medical Sciences","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bjms"
NA,"2635-3792",NA,"Bayero Journal of Medical Laboratory Science","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bjmls"
NA,"2659-1464",NA,"Bayero Journal of Nursing and Health Care","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bjnhc"
"2006-6996","2006-6996",NA,"Bayero Journal of Pure and Applied Sciences","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/bajopas"
"0795-0268","2251-0842",NA,"Benin Journal of Postgraduate Medicine","Nigeria",TRUE,"missing",2011,"https://www.ajol.info/index.php/bjpm"
"2705-3822",NA,NA,"Bio-Research","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/br"
"0795-8080",NA,NA,"Biokemistri","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/biokem"
NA,"2706-8587",NA,"BNR Economic Review","Rwanda",TRUE,"missing",NA,"https://www.ajol.info/index.php/BNRER"
NA,"0189-9422","2437-1734","Borno Medical Journal","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/bomj"
"1810-0163","2948-0248","1810-0163","Botswana Journal of Economics","Botswana",TRUE,"missing",2017,"https://www.ajol.info/index.php/boje"
"1019-1593","1019-1593",NA,"Botswana Journal of Technology","Botswana",FALSE,"missing",2014,"https://www.ajol.info/index.php/bjt"
"1597-2836",NA,NA,"Bowen Journal of Agriculture","Nigeria",FALSE,"missing",2017,"https://www.ajol.info/index.php/bja"
"0378-9721","0378-9721",NA,"Bulletin of Animal Health and Production in Africa","Kenya",FALSE,"missing",2018,"https://www.ajol.info/index.php/bahpa"
"1726-801X","1011-3924","1726-801X","Bulletin of the Chemical Society of Ethiopia","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/bcse"
NA,"2705-3121","2705-313X","Caliphate Journal of Science and Technology","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/cajost"
"1813-3320","1813-3320",NA,"Cameroon Journal of Agricultural Science","Cameroon",FALSE,"missing",2009,"https://www.ajol.info/index.php/cjas"
"1816-0573","1816-0573",NA,"Cameroon Journal of Experimental Biology","Cameroon",FALSE,"missing",2023,"https://www.ajol.info/index.php/cajeb"
"0008-9176","0008-9176",NA,"Central African Journal of Medicine","Zimbabwe",FALSE,"missing",2023,"https://www.ajol.info/index.php/cajm"
"2384-6028",NA,NA,"ChemSearch Journal","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/csj"
"2090-7214","2090-7214","1812-5840","Clinics in Mother and Child Health","Cameroon",TRUE,"missing",2012,"https://www.ajol.info/index.php/cmch"
"1115-2664",NA,NA,"Communicate: Journal of Library and Information Science","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/cjlis"
"2343-6530",NA,NA,"Contemporary Journal of African Studies","Ghana",FALSE,"missing",2022,"https://www.ajol.info/index.php/contjas"
"2078-5143","0256-2170","2078-5143","Continuing Medical Education","South Africa",TRUE,"missing",2014,"https://www.ajol.info/index.php/cme"
"0189-0263",NA,NA,"Counsellor (The)","Nigeria",FALSE,"missing",2014,"https://www.ajol.info/index.php/coun"
NA,NA,NA,"Cradle of Knowledge: African Journal of Educational and Social Science Research (The)","Kenya",TRUE,"missing",NA,"https://www.ajol.info/index.php/ajessr"
"2006-6910",NA,NA,"Creative Artist: A Journal of Theatre and Media Studies","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/cajtms"
"0256-004","0256-0046","1992-6049","Critical Arts","South Africa",FALSE,"missing",2004,"https://www.ajol.info/index.php/ca"
"2310-7103","2310-7103",NA,"Critical Studies in Teaching and Learning","South Africa",TRUE,"missing",2023,"https://www.ajol.info/index.php/cristal"
"2159-9130",NA,NA,"Current Writing: Text and Reception in Southern Africa","South Africa",FALSE,"missing",2010,"https://www.ajol.info/index.php/cw"
"0856-7212","0856-7212",NA,"Dar Es Salaam Medical Students' Journal","Tanzania",TRUE,"missing",2013,"https://www.ajol.info/index.php/dmsj"
"1465-0142",NA,NA,"Democracy & Development: Journal of West African Affairs","Nigeria",FALSE,"missing",2005,"https://www.ajol.info/index.php/dad"
NA,NA,NA,"Dirasat Hispanicas: Revista Tunecina de Estudios Hispánicos","Tunisia",TRUE,"missing",NA,"https://www.ajol.info/index.php/dirhisp"
"1015-079X","1015-079X",NA,"Discovery and Innovation","Kenya",FALSE,"missing",2009,"https://www.ajol.info/index.php/dai"
NA,"2635-3490","2476-8316","Dutse Journal of Pure and Applied Sciences","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/dujopas"
NA,"2664-0996","2664-1003","East Africa Science","Burundi",TRUE,"missing",NA,"https://www.ajol.info/index.php/easci"
"0012-8325","0012-8325","2313-450X","East African Agricultural and Forestry Journal","Kenya",FALSE,"missing",2009,"https://www.ajol.info/index.php/eaafj"
NA,"2520-5285","2520-5277","East African Health Research Journal","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/eahrj"
NA,"2789-360X","2789-3618","East African Journal of Biophysical and Computational Sciences","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/eajbcs"
NA,"2714-2132","2714-2183","East African Journal of Education and Social Sciences","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/eajess"
"1021-8858","1021-8858",NA,"East African Journal of Peace and Human Rights","Uganda",FALSE,"missing",2008,"https://www.ajol.info/index.php/eajphr"
"0856-8960","2799-2128",NA,"East African Journal of Public Health","Tanzania",FALSE,"missing",2020,"https://www.ajol.info/index.php/eajph"
"1992-0407","1992-0407","1993-8195","East African Journal of Sciences","Ethiopia",TRUE,"missing",2021,"https://www.ajol.info/index.php/eajsci"
"1811-7503","1811-7503",NA,"East African Journal of Statistics","Kenya",FALSE,"missing",2008,"https://www.ajol.info/index.php/eajosta"
"0012-835X",NA,NA,"East African Medical Journal","Kenya",FALSE,"missing",NA,"https://www.ajol.info/index.php/eamj"
"1994-1072",NA,NA,"East African Orthopaedic Journal","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/eaoj"
"1026-552X","1026-552X",NA,"East and Central African Journal of Pharmaceutical Sciences","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/ecajps"
"2073-9990","2073-9990","1024-297X","East and Central African Journal of Surgery","Uganda",TRUE,"missing",2019,"https://www.ajol.info/index.php/ecajs"
"0377-7103","0377-7103",NA,"Eastern Africa Journal of Rural Development","Uganda",FALSE,"missing",2008,"https://www.ajol.info/index.php/eajrd"
"1684-4173","1027-1775","1684-4173","Eastern Africa Social Science Research Review","Ethiopia",FALSE,"missing",2022,"https://www.ajol.info/index.php/eassrr"
"1597-1260",NA,NA,"Ebonyi Medical Journal","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/ebomed"
NA,NA,NA,"Economic and Policy Review","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/epr"
"2006-7593","2006-7593",NA,"Edo Journal of Counselling","Nigeria",TRUE,"missing",2011,"https://www.ajol.info/index.php/ejc"
"1687-1502","2090-2603","1687-1502","Egyptian Journal of Biochemistry and Molecular Biology","Egypt, Arab Rep.",FALSE,"missing",2021,"https://www.ajol.info/index.php/ejbmb"
"1110-6859",NA,NA,"Egyptian Journal of Biology","Egypt, Arab Rep.",TRUE,"missing",2014,"https://www.ajol.info/index.php/ejb"
"1110-6379","1110-6379",NA,"Egyptian Journal of Biomedical Sciences","Egypt, Arab Rep.",FALSE,"missing",2007,"https://www.ajol.info/index.php/ejbs2"
"1110-6093",NA,NA,"Egyptian Journal of Biotechnology","Egypt, Arab Rep.",FALSE,"missing",2007,"https://www.ajol.info/index.php/ejbiot"
NA,"1687-2002","2090-7125","Egyptian Journal of Hospital Medicine","Egypt, Arab Rep.",TRUE,"missing",NA,"https://www.ajol.info/index.php/ejhm"
"1110-8630","2090-2441","1110-8630","Egyptian Journal of Medical Human Genetics","Egypt, Arab Rep.",TRUE,"missing",2019,"https://www.ajol.info/index.php/ejhg"
"1110-5593","1110-5593",NA,"Egyptian Journal of Medical Laboratory Sciences","Egypt, Arab Rep.",FALSE,"missing",2009,"https://www.ajol.info/index.php/ejmls"
"1110-6867","1110-6867",NA,"Egyptian Journal of Natural History","Egypt, Arab Rep.",TRUE,"missing",2013,"https://www.ajol.info/index.php/ejnh"
"2314-8934",NA,NA,"Egyptian Journal of Pediatric Allergy and Immunology (The)","Egypt, Arab Rep.",TRUE,"missing",2022,"https://www.ajol.info/index.php/ejpai"
"2449-1179","2449-1179",NA,"EJOTMAS: Ekpoma Journal of Theatre and Media Arts","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/ejotmas"
"2071-7474","2071-7474","0376-8902","English in Africa","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/eia"
NA,"2705-1919","2705-3636","Environmental Technology and Science Journal","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/etsj"
NA,"2354-1814","2682-5961","Equity Journal of Science and Technology","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/equijost"
"1010-2728","1010-2728",NA,"Ergonomics SA","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/esa"
"0376-4753",NA,NA,"ESARBICA Journal: Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives","South Africa",FALSE,"missing",2023,"https://www.ajol.info/index.php/esarjo"
"2415-2382","0257-2605","2415-2382","Ethiopian Journal of Agricultural Sciences","Ethiopia",TRUE,"missing",2023,"https://www.ajol.info/index.php/ejas"
"1819-8678","1819-8678",NA,"Ethiopian Journal of Biological Sciences","Ethiopia",FALSE,"missing",2022,"https://www.ajol.info/index.php/ejbs"
"2410-2393","2311-9772",NA,"Ethiopian Journal of Business and Economics (The)","Ethiopia",TRUE,"missing",2019,"https://www.ajol.info/index.php/ejbe"
"0378-0813","0378-0813",NA,"Ethiopian Journal of Development Research","Ethiopia",FALSE,"missing",2022,"https://www.ajol.info/index.php/ejdr"
"1993-3681","2957-7489","1993-3681","Ethiopian Journal of Economics","Ethiopia",TRUE,"missing",2021,"https://www.ajol.info/index.php/eje"
NA,"0425-4414","2523-0980","Ethiopian Journal of Education","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/ejed"
"1998-8907","1998-8907","2309-8600","Ethiopian Journal of Education and Sciences","Ethiopia",TRUE,"missing",2020,"https://www.ajol.info/index.php/ejesc"
"1998-0507","1998-0507",NA,"Ethiopian Journal of Environmental Studies and Management","Ethiopia",TRUE,"missing",2017,"https://www.ajol.info/index.php/ejesm"
"1021-6790","1021-6790","2309-7388","Ethiopian Journal of Health Development","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/ejhd"
"2413-7170","2413-7170","1029-1857","Ethiopian Journal of Health Sciences","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/ejhs"
NA,"2307-6097",NA,"Ethiopian Journal of Human Rights","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/ejhr"
NA,"2413-2640","2519-0334","Ethiopian Journal of Pediatrics and Child Health","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/ejpch"
NA,"2663-3205","1998-0531","Ethiopian Journal of Science and Sustainable Development","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/ejssd"
"2312-6019","1816-3378","2312-6019","Ethiopian Journal of Science and Technology","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/ejst"
"2520-582X","1810-4487","2520-582X","Ethiopian Journal of the Social Sciences and Humanities","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/ejossah"
"1029-5933","1029-5933",NA,"Ethiopian Pharmaceutical Journal","Ethiopia",FALSE,"missing",2022,"https://www.ajol.info/index.php/epj"
