title	issn	issn2	is_ajol	is_scopus	is_wos	is_ulrich
mara research journal of business management	2519-1381	NULL	0	0	0	1
south african journal of agricultural extension	2413-3221	NULL	1	0	0	0
sanaa	2507-7775	NULL	0	0	0	1
absu journal of environment science and technology	2504-8716	NULL	0	0	0	1
south african journal of animal science	2221-4062	0375-1589	1	1	1	1
interdisciplinary journal of african and asian studies	2504-8694	NULL	0	0	0	1
bayero international journal of islamic finance	2504-9798	NULL	0	0	0	1
international journal of science and applied research	2504-9070	NULL	0	0	0	1
journal of hippocratic medicus	2504-9224	2408-6193	0	0	0	1
sotl in the south	2523-1154	NULL	0	1	0	1
african journal of computing and information systems	2519-5875	NULL	0	0	0	1
international journal of innovations business and management	2519-5018	NULL	0	0	0	1
south african computer journal online	2313-7835	NULL	0	1	0	1
african journal of built environment research	2414-0236	NULL	0	0	0	1
south african journal of bioethics and law	1999-7639	NULL	1	1	1	1
south african journal of chemistry	1996-840X	NULL	1	0	1	1
apt journal of multidisciplinary research	2408-7866	NULL	0	0	0	1
dama international journal of researchers	2343-6743	NULL	0	0	0	1
ejournal of religious and theological studies	2458-7338	NULL	0	0	0	1
international journal of advanced computer technology and management	2343-662X	NULL	0	0	0	1
journal of applied sciences arts and theology	2508-1160	NULL	0	0	0	1
lancaster university ghana law journal	2467-8899	NULL	0	0	0	1
postgraduate medical journal of ghana	2026-6790	2343-6921	0	0	0	1
uds international journal of development	2026-5336	NULL	0	0	0	1
achievers journal of scientific research	2505-0141	NULL	0	0	0	1
african journal of science and nature	2536-6904	NULL	0	0	0	1
south african journal of child health	1999-7671	1994-3032	1	0	1	1
journal of agricultural science and practice	2536-7072	NULL	0	0	0	1
journal of animal science and veterinary medicine	2536-7099	NULL	0	0	0	1
journal of bioscience and biotechnology discovery	2536-7064	NULL	0	0	0	1
south african journal of education	0256-0100	2076-3433	1	1	1	1
south african journal of higher education	1011-3487	1753-5913	0	0	1	1
al azhar journal of pediatrics	1110-7774	NULL	0	0	0	1
alexandria journal of veterinary sciences	1110-2047	2536-9520	0	0	0	1
south african journal of geomatics	2225-8531	NULL	1	0	1	0
arab universities journal of agricultural sciences	1110-2675	2636-3585	0	0	0	1
south african journal of business management	2078-5976	2078-5585	0	1	1	1
acta academica	2415-0479	0587-2405	0	0	0	1
cairo university faculty of pharmacy bulletin	1110-0931	2090-9101	0	0	0	1
assiut university journal of chemistry	1687-4919	NULL	0	0	0	1
south african journal of information management	1560-683X	2078-1865	0	0	1	1
south african journal of obstetrics and gynaecology	0038-2329	2305-8862	1	0	1	1
the egyptian journal of agronematology	1110-6158	2735-4989	0	0	0	1
south african journal of enology and viticulture	0253-939X	2224-7904	0	1	1	1
ethiope research	1595-6180	NULL	0	0	0	1
south african journal of international affairssajia	1022-0461	1938-0275	0	0	1	0
south african journal of libraries and information science	2304-8263	0256-8861	0	0	1	1
the south african radiographer	0258-0241	2224-8900	0	0	0	1
south african journal of geology	1996-8590	NULL	0	1	1	1
journal of petroleum and mining engineering	1110-6506	2682-3292	0	0	0	1
menoufia medical journal	1110-2098	2314-6788	0	0	0	1
high institute of public health journal	2357-0601	2357-061X	0	0	0	1
the egyptian journal of psychiatry	1110-1105	2090-2425	0	0	0	1
south african journal of marine sciencesuidafrikaanse tydskrif vir seewet	0257-7615	NULL	0	0	1	0
south african journal of marine sciencesuidafrikaanse tydskrif vir seewetenskap	0257-7615	NULL	0	0	1	0
south african journal of psychiatry	1608-9685	2078-6786	1	1	1	1
south african journal of philosophy	0258-0136	2073-4867	0	0	1	0
south african journal of physiotherapy	0379-6175	2410-8219	0	0	1	1
the south african journal of diabetes and vascular disease	1811-6515	NULL	0	0	0	1
west african journal of nursing	1117-9686	NULL	0	0	0	1
south african journal of radiology	1027-202X	2078-6778	1	1	1	1
moor journal of agricultural research	1595-4153	NULL	0	0	0	1
elite research journal of education and review	2384-5619	NULL	0	0	0	1
south african journal of industrial engineering	1012-277X	2224-7890	0	1	1	1
gazette of medicine	2384-6283	NULL	0	0	0	1
international journal of infectious and tropical diseases	2384-6607	2384-6585	0	0	0	1
journal of engineering and applied scientific research	2384-6569	NULL	0	0	0	1
journal of geospatial science and techology	2408-6517	NULL	0	0	0	1
kano journal of educational studies	2408-6525	NULL	0	0	0	1
nursing world nigeria journal	2408-588X	NULL	0	0	0	1
gender questions	2309-9704	2412-8457	0	0	0	1
bayero journal of engineering and technology	2449-0539	NULL	0	0	0	1
ilorin journal of economic policy	2449-0512	NULL	0	0	0	1
journal of capital development in behavioural sciences	2449-0679	NULL	0	0	0	1
